26098
(1,-8.633042,41.153901)
(3,-8.622536,41.144024)
(26781,-8.577538,41.165290)
(9,-8.625129,41.148539)
(26783,-8.614849,41.149957)
(11,-8.640873,41.145182)
(13,-8.613200,41.153691)
(26785,-8.608763,41.147470)
(16,-8.612651,41.157341)
(17,-8.588446,41.174699)
(26789,-8.615665,41.144905)
(21,-8.592092,41.155634)
(26790,-8.612602,41.140532)
(26,-8.633948,41.141079)
(26792,-8.596339,41.153605)
(27,-8.598454,41.158881)
(28,-8.610909,41.144913)
(30,-8.611356,41.140949)
(26796,-8.577096,41.165717)
(37,-8.609635,41.150960)
(26799,-8.598824,41.154458)
(39,-8.578498,41.155337)
(41,-8.648212,41.142180)
(26802,-8.620752,41.152528)
(26803,-8.619618,41.142216)
(26805,-8.579750,41.161149)
(26806,-8.630234,41.150998)
(26807,-8.646373,41.161574)
(26809,-8.631252,41.150061)
(26814,-8.638203,41.167272)
(26815,-8.575331,41.163094)
(26820,-8.609585,41.151508)
(47,-8.630935,41.147273)
(26819,-8.607005,41.143956)
(50,-8.577662,41.152915)
(26821,-8.612029,41.150849)
(53,-8.614471,41.162320)
(56,-8.586169,41.161490)
(57,-8.613887,41.151862)
(26822,-8.606420,41.148317)
(60,-8.642799,41.164874)
(62,-8.620286,41.147182)
(63,-8.623575,41.144641)
(26826,-8.608237,41.142801)
(26829,-8.602528,41.146898)
(66,-8.612811,41.141176)
(26830,-8.581924,41.165348)
(67,-8.611379,41.172529)
(26831,-8.587854,41.141836)
(26832,-8.650035,41.161556)
(69,-8.603948,41.172041)
(26836,-8.647493,41.142270)
(26834,-8.634267,41.139594)
(26835,-8.606568,41.150010)
(26837,-8.620319,41.144414)
(71,-8.577553,41.155078)
(26839,-8.607546,41.144017)
(73,-8.639074,41.145270)
(74,-8.648536,41.159993)
(26844,-8.631602,41.151123)
(75,-8.594973,41.155980)
(26845,-8.573643,41.146153)
(26846,-8.642575,41.143915)
(26847,-8.604317,41.147713)
(76,-8.614269,41.157717)
(26849,-8.591523,41.161603)
(26850,-8.641193,41.150858)
(80,-8.610099,41.150769)
(26853,-8.611282,41.147910)
(26854,-8.624470,41.163805)
