81
(0, 0, 0)
(1, 0, 75)
(2, 0, 150)
(3, 0, 225)
(4, 0, 300)
(5, 0, 375)
(6, 0, 450)
(7, 0, 525)
(8, 0, 600)
(9, 75, 0)
(10, 75, 75)
(11, 75, 150)
(12, 75, 225)
(13, 75, 300)
(14, 75, 375)
(15, 75, 450)
(16, 75, 525)
(17, 75, 600)
(18, 150, 0)
(19, 150, 75)
(20, 150, 150)
(21, 150, 225)
(22, 150, 300)
(23, 150, 375)
(24, 150, 450)
(25, 150, 525)
(26, 150, 600)
(27, 225, 0)
(28, 225, 75)
(29, 225, 150)
(30, 225, 225)
(31, 225, 300)
(32, 225, 375)
(33, 225, 450)
(34, 225, 525)
(35, 225, 600)
(36, 300, 0)
(37, 300, 75)
(38, 300, 150)
(39, 300, 225)
(40, 300, 300)
(41, 300, 375)
(42, 300, 450)
(43, 300, 525)
(44, 300, 600)
(45, 375, 0)
(46, 375, 75)
(47, 375, 150)
(48, 375, 225)
(49, 375, 300)
(50, 375, 375)
(51, 375, 450)
(52, 375, 525)
(53, 375, 600)
(54, 450, 0)
(55, 450, 75)
(56, 450, 150)
(57, 450, 225)
(58, 450, 300)
(59, 450, 375)
(60, 450, 450)
(61, 450, 525)
(62, 450, 600)
(63, 525, 0)
(64, 525, 75)
(65, 525, 150)
(66, 525, 225)
(67, 525, 300)
(68, 525, 375)
(69, 525, 450)
(70, 525, 525)
(71, 525, 600)
(72, 600, 0)
(73, 600, 75)
(74, 600, 150)
(75, 600, 225)
(76, 600, 300)
(77, 600, 375)
(78, 600, 450)
(79, 600, 525)
(80, 600, 600)
